2024-11-27 18:13:30,370 - User: admin, Action: login, Status: failed
2024-11-27 18:14:45,174 - User: admin, Action: login, Status: successful
2024-11-27 18:14:53,592 - User: admin, Action: view_transactions, Status: attempted
2024-11-27 18:14:53,597 - User: admin, Action: view_transactions, Status: successful
2024-11-27 18:15:08,014 - User: admin, Action: manage_users, Status: successful
2024-11-27 18:15:37,166 - User: admin, Action: approve_transactions, Status: successful
2024-11-27 18:15:43,456 - User: admin, Action: view_transactions, Status: attempted
2024-11-27 18:15:43,459 - User: admin, Action: view_transactions, Status: successful
2024-11-27 18:16:16,089 - User: manager, Action: login, Status: successful
2024-11-27 18:16:20,032 - User: manager, Action: view_transactions, Status: attempted
2024-11-27 18:16:20,036 - User: manager, Action: view_transactions, Status: successful
2024-11-27 18:16:52,016 - User: customer, Action: login, Status: successful
2024-11-27 18:16:55,375 - User: customer, Action: view_transactions, Status: attempted
2024-11-27 18:16:55,378 - User: customer, Action: view_transactions, Status: successful
2024-11-27 18:18:04,050 - User: manager, Action: login, Status: successful
2024-11-27 18:18:06,243 - User: manager, Action: view_transactions, Status: attempted
2024-11-27 18:18:06,247 - User: manager, Action: view_transactions, Status: successful
2024-11-27 18:32:19,573 - User: admin, Action: login, Status: successful
2024-11-27 18:32:21,313 - User: admin, Action: view_transactions, Status: attempted
2024-11-27 18:32:21,317 - User: admin, Action: view_transactions, Status: successful
2024-11-27 19:29:10,375 - User: admin, Action: login, Status: successful
2024-11-27 19:43:20,274 - User: manager, Action: login, Status: successful
2024-11-27 19:44:50,953 - User: 4, Action: login, Status: failed
2024-11-27 20:04:13,674 - User: admin, Action: login, Status: successful
2024-11-27 20:04:16,098 - User: admin, Action: view_transactions, Status: attempted
2024-11-27 20:04:16,103 - User: admin, Action: view_transactions, Status: successful
2024-11-27 20:04:28,801 - User: admin, Action: manage_users, Status: successful
2024-11-27 20:04:31,656 - User: admin, Action: approve_transactions, Status: successful
2024-11-27 20:06:35,885 - User: manager, Action: login, Status: successful
2024-11-27 20:06:38,601 - User: manager, Action: view_transactions, Status: attempted
2024-11-27 20:06:38,604 - User: manager, Action: view_transactions, Status: successful
2024-11-27 20:08:28,107 - User: manager, Action: view_transactions, Status: attempted
2024-11-27 20:08:28,109 - User: manager, Action: view_transactions, Status: successful
2024-11-27 20:09:31,922 - User: manager, Action: view_transactions, Status: attempted
2024-11-27 20:09:31,924 - User: manager, Action: view_transactions, Status: successful
2024-11-27 20:12:14,238 - User: customer, Action: login, Status: successful
2024-11-27 20:12:16,537 - User: customer, Action: view_transactions, Status: attempted
2024-11-27 20:12:16,539 - User: customer, Action: view_transactions, Status: successful
2024-11-27 20:13:16,671 - User: admin, Action: login, Status: successful
2024-11-27 20:13:17,837 - User: admin, Action: view_transactions, Status: attempted
2024-11-27 20:13:17,840 - User: admin, Action: view_transactions, Status: successful
2024-11-27 20:18:10,953 - User: admin, Action: login, Status: successful
2024-11-27 20:20:12,134 - User: admin, Action: login, Status: successful
2024-11-27 20:20:13,689 - User: admin, Action: view_transactions, Status: attempted
2024-11-27 20:20:13,692 - User: admin, Action: view_transactions, Status: successful
2024-11-27 20:28:27,280 - User: customer, Action: login, Status: successful
2024-11-27 20:28:28,418 - User: customer, Action: view_transactions, Status: attempted
2024-11-27 20:28:28,421 - User: customer, Action: view_transactions, Status: successful
2024-11-28 10:34:01,247 - User: admin, Action: login, Status: successful
2024-11-28 10:34:05,661 - User: admin, Action: view_transactions, Status: attempted
2024-11-28 10:34:05,665 - User: admin, Action: view_transactions, Status: successful
